audit_case_id,grid_index,x_methane,branch,status,molar_density_mol_m3,residual_helmholtz,g_bar,support_line_g_bar,gap_above_support,failure_reason
may2015-row-001-midpoint,51,0.051000008980000004,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,52,0.05200000896,single,accepted,15663.36417265217,-2.4508765297320068,6.128328331521932,,,
may2015-row-001-midpoint,52,0.05200000896,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,52,0.05200000896,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,53,0.05300000894000001,single,accepted,15663.096601418118,-2.4486681450041745,6.127628731498296,,,
may2015-row-001-midpoint,53,0.05300000894000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,53,0.05300000894000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,54,0.05400000892000001,single,accepted,15662.81939121199,-2.4464598246355638,6.1269484531113125,,,
may2015-row-001-midpoint,54,0.05400000892000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,54,0.05400000892000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,55,0.05500000890000001,single,accepted,15662.532498511688,-2.444251567236946,6.12628714694217,,,
may2015-row-001-midpoint,55,0.05500000890000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,55,0.05500000890000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,56,0.05600000888000001,single,accepted,15662.235879449996,-2.442043371402585,6.125644476280646,,,
may2015-row-001-midpoint,56,0.05600000888000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,56,0.05600000888000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,57,0.05700000886000001,single,accepted,15661.929489972677,-2.4398352357190496,6.1250201164440945,,,
may2015-row-001-midpoint,57,0.05700000886000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,57,0.05700000886000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,58,0.058000008840000006,single,accepted,15661.613285756755,-2.437627158760681,6.124413754144143,,,
may2015-row-001-midpoint,58,0.058000008840000006,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,58,0.058000008840000006,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,59,0.059000008820000005,single,accepted,15661.28722222441,-2.435419139090368,6.123825086897155,,,
may2015-row-001-midpoint,59,0.059000008820000005,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,59,0.059000008820000005,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,60,0.06000000880000001,single,accepted,15660.951254541182,-2.4332111752594465,6.123253822474636,,,
may2015-row-001-midpoint,60,0.06000000880000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,60,0.06000000880000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,61,0.06100000878000001,single,accepted,15660.605337613879,-2.431003265807606,6.122699678390273,,,
may2015-row-001-midpoint,61,0.06100000878000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,61,0.06100000878000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,62,0.06200000876000001,single,accepted,15660.249426088703,-2.4287954092627713,6.122162381420663,,,
may2015-row-001-midpoint,62,0.06200000876000001,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,62,0.06200000876000001,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,63,0.06300000874,single,accepted,15659.883474349237,-2.42658760414102,6.121641667156914,,,
may2015-row-001-midpoint,63,0.06300000874,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,63,0.06300000874,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
